Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Will Smith,28,72,314,256,48,74,12,1,13,50,1,0,46,43,0.289,0.401,0.496,0.897,140,127,4,6,0,6,0,smithwi05
2,1B,Freddie Freeman*,33,95,436,378,78,121,34,2,17,64,12,1,46,76,0.32,0.401,0.556,0.957,154,210,5,8,0,4,6,freemfr01
3,2B,Miguel Vargas (40-man),23,81,304,256,36,50,15,4,7,32,3,2,38,61,0.195,0.305,0.367,0.672,80,94,1,4,1,4,1,vargami01
4,SS,Miguel Rojas,34,68,234,215,24,48,11,0,0,11,6,1,15,29,0.223,0.274,0.274,0.548,48,59,2,1,0,3,0,rojasmi02
5,3B,Max Muncy*,32,78,327,272,51,51,6,0,22,56,1,2,50,91,0.188,0.321,0.452,0.773,105,123,4,4,0,1,3,muncyma01
6,LF,David Peralta*,35,80,255,238,25,65,9,1,7,35,1,1,13,41,0.273,0.31,0.408,0.717,91,97,3,1,0,3,0,peralda01
7,CF,James Outman*,26,89,325,284,49,69,11,3,12,41,10,2,32,110,0.243,0.332,0.43,0.762,103,122,0,7,0,2,1,outmaja01
8,RF,Mookie Betts,30,92,426,359,75,100,23,1,27,65,7,2,58,69,0.279,0.38,0.574,0.954,152,206,4,4,0,5,3,bettsmo01
9,DH,J.D. Martinez,35,78,338,308,45,79,20,2,23,66,1,0,22,104,0.256,0.305,0.558,0.863,125,172,7,2,0,6,1,martijd02
10,RF,Jason Heyward*,33,76,223,187,38,47,13,0,9,25,2,1,27,43,0.251,0.35,0.465,0.815,117,87,4,3,0,3,0,heywaja01
11,IF,Chris Taylor,32,64,196,178,29,37,7,1,12,31,7,0,15,68,0.208,0.276,0.461,0.736,93,82,2,2,0,1,1,tayloch03
12,C,Austin Barnes,33,35,114,102,4,11,2,0,0,5,2,1,10,28,0.108,0.193,0.127,0.32,-11,13,3,1,0,1,0,barneau01
13,OF,Trayce Thompson (60-day IL),32,36,87,71,12,11,0,0,5,14,0,0,15,37,0.155,0.31,0.366,0.677,81,26,0,1,0,0,0,thomptr01
14,IF,Michael Busch* (40-man),25,15,51,45,6,9,3,0,0,4,1,0,6,16,0.2,0.294,0.267,0.561,53,12,0,0,0,0,0,buschmi02
15,OF,Jonny Deluca,24,20,36,33,4,7,1,0,1,3,1,0,3,6,0.212,0.278,0.333,0.611,64,11,0,0,0,0,0,delucjo01
16,IF,Yonny Hernández#,25,8,14,12,3,2,1,0,0,4,0,0,0,5,0.167,0.214,0.25,0.464,25,3,0,1,0,1,0,hernayo02
17,C,Austin Wynns,32,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,41,3,0,0,0,0,0,wynnsau01
18,SS,Luke Williams,26,4,10,10,0,1,0,0,0,0,1,0,0,3,0.1,0.1,0.1,0.2,-46,1,0,0,0,0,0,willilu01
19,CF,Jake Marisnick (10-day IL),32,4,6,5,0,2,0,0,0,0,0,1,0,0,0.4,0.5,0.4,0.9,147,2,0,1,0,0,0,marisja01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,